year;week;KW;Canton
1918;1918_w25;25;3
1918;1918_w26;26;0
1918;1918_w27;27;16
1918;1918_w28;28;298
1918;1918_w29;29;1439
1918;1918_w30;30;7845
1918;1918_w31;31;7046
1918;1918_w32;32;3581
1918;1918_w33;33;1509
1918;1918_w34;34;903
1918;1918_w35;35;773
1918;1918_w36;36;406
1918;1918_w37;37;380
1918;1918_w38;38;222
1918;1918_w39;39;775
1918;1918_w40;40;1624
1918;1918_w41;41;2893
1918;1918_w42;42;3192
1918;1918_w43;43;6437
1918;1918_w44;44;9081
1918;1918_w45;45;8596
1918;1918_w46;46;7294
1918;1918_w47;47;5395
1918;1918_w48;48;8133
1918;1918_w49;49;7631
1918;1918_w50;50;8438
1918;1918_w51;51;3886
1918;1918_w52;52;4102
1919;1919_w1;1;1723
1919;1919_w2;2;2107
1919;1919_w3;3;1428
1919;1919_w4;4;1520
1919;1919_w5;5;1199
1919;1919_w6;6;2030
1919;1919_w7;7;921
1919;1919_w8;8;2050
1919;1919_w9;9;1117
1919;1919_w10;10;937
1919;1919_w11;11;1233
1919;1919_w12;12;534
1919;1919_w13;13;656
1919;1919_w14;14;374
1919;1919_w15;15;613
1919;1919_w16;16;121
1919;1919_w17;17;328
1919;1919_w18;18;69
1919;1919_w19;19;53
1919;1919_w20;20;95
1919;1919_w21;21;35
1919;1919_w22;22;64
1919;1919_w23;23;22
1919;1919_w24;24;8
1919;1919_w25;25;17
1919;1919_w26;26;0
1919;1919_w27;27;0
1919;1919_w28;28;0
1919;1919_w29;29;0
1919;1919_w30;30;0
1919;1919_w31;31;0
1919;1919_w32;32;0
1919;1919_w33;33;0
1919;1919_w34;34;0
1919;1919_w35;35;0
1919;1919_w36;36;0
1919;1919_w37;37;0
1919;1919_w38;38;0
1919;1919_w39;39;0
1919;1919_w40;40;0
1919;1919_w41;41;0
