year;week;KW;City of Bern;Canton
1918;1918_w25;25;0;3
1918;1918_w26;26;0;0
1918;1918_w27;27;7;16
1918;1918_w28;28;60;298
1918;1918_w29;29;240;1439
1918;1918_w30;30;2713;7845
1918;1918_w31;31;1801;7046
1918;1918_w32;32;641;3581
1918;1918_w33;33;236;1509
1918;1918_w34;34;115;903
1918;1918_w35;35;100;773
1918;1918_w36;36;31;406
1918;1918_w37;37;89;380
1918;1918_w38;38;0;222
1918;1918_w39;39;222;775
1918;1918_w40;40;304;1624
1918;1918_w41;41;622;2893
1918;1918_w42;42;751;3192
1918;1918_w43;43;1600;6437
1918;1918_w44;44;2118;9081
1918;1918_w45;45;1316;8596
1918;1918_w46;46;1634;7294
1918;1918_w47;47;633;5395
1918;1918_w48;48;1770;8133
1918;1918_w49;49;1564;7631
1918;1918_w50;50;677;8438
1918;1918_w51;51;420;3886
1918;1918_w52;52;181;4102
1919;1919_w1;1;94;1723
1919;1919_w2;2;150;2107
1919;1919_w3;3;172;1428
1919;1919_w4;4;113;1520
1919;1919_w5;5;409;1199
1919;1919_w6;6;524;2030
1919;1919_w7;7;393;921
1919;1919_w8;8;437;2050
1919;1919_w9;9;468;1117
1919;1919_w10;10;353;937
1919;1919_w11;11;266;1233
1919;1919_w12;12;167;534
1919;1919_w13;13;92;656
1919;1919_w14;14;77;374
1919;1919_w15;15;49;613
1919;1919_w16;16;0;121
1919;1919_w17;17;57;328
1919;1919_w18;18;35;69
1919;1919_w19;19;0;53
1919;1919_w20;20;2;95
1919;1919_w21;21;0;35
1919;1919_w22;22;11;64
1919;1919_w23;23;3;22
1919;1919_w24;24;1;8
1919;1919_w25;25;1;17
1919;1919_w26;26;0;0
1919;1919_w27;27;0;0
1919;1919_w28;28;0;0
1919;1919_w29;29;0;0
1919;1919_w30;30;0;0
1919;1919_w31;31;0;0
1919;1919_w32;32;0;0
1919;1919_w33;33;0;0
1919;1919_w34;34;0;0
1919;1919_w35;35;0;0
1919;1919_w36;36;0;0
1919;1919_w37;37;0;0
1919;1919_w38;38;0;0
1919;1919_w39;39;0;0
1919;1919_w40;40;0;0
1919;1919_w41;41;0;0
